Date,Open,High,Low,Close,Volume,Market Cap
13-01-2021,0,0,0,0,0,0
12-01-2021,0,0,0,0,124.98545455,0
11-01-2021,0,0,0,0,66.432681,0
10-01-2021,0,0,0,0,202.45953625,0
09-01-2021,0,0,0,0,201.31700152,0
08-01-2021,0,0,0,0,0,0
07-01-2021,0,0,0,0,0,0
06-01-2021,0,0,0,0,0,0
05-01-2021,0,0,0,0,17.51115765,0
04-01-2021,0,0,0,0,0,0
03-01-2021,0,0,0,0,1.91739689,0
02-01-2021,0,0,0,0,77.54,0
01-01-2021,0,0,0,0,0,0
31-12-2020,0,0,0,0,0.00036875,0
30-12-2020,0,0,0,0,0,0
29-12-2020,0,0,0,0,119.05991813,0
28-12-2020,0,0,0,0,0,0
27-12-2020,0,0,0,0,212.57789603,0
26-12-2020,0,0,0,0,9.09387221,0
25-12-2020,0,0,0,0,0,0
24-12-2020,0,0,0,0,0,0
23-12-2020,0,0,0,0,0,0
22-12-2020,0,0,0,0,0,0
21-12-2020,0,0,0,0,0,0
20-12-2020,0,0,0,0,3.29408365,0
19-12-2020,0,0,0,0,13.42680962,0
18-12-2020,0,0,0,0,0,0
17-12-2020,0,0,0,0,0,0
16-12-2020,0,0,0,0,0,0
15-12-2020,0,0,0,0,0,0
14-12-2020,0,0,0,0,345.84764122,0
13-12-2020,0,0,0,0,20.70503864,0
12-12-2020,0,0,0,0,5.9661,0
11-12-2020,0,0,0,0,71.06872665,0
10-12-2020,0,0,0,0,0,0
09-12-2020,0,0,0,0,0,0
08-12-2020,0,0,0,0,19.99140608,0
07-12-2020,0,0,0,0,0,0
06-12-2020,0,0,0,0,6.34544542,0
05-12-2020,0,0,0,0,11.83565309,0
04-12-2020,0,0,0,0,36.41669453,0
03-12-2020,0,0,0,0,0,0
02-12-2020,0,0,0,0,0,0
01-12-2020,0,0,0,0,0,0
30-11-2020,0,0,0,0,154.36344785,0
29-11-2020,0,0,0,0,7.74154935,0
28-11-2020,0,0,0,0,1380.27098851,0
27-11-2020,0,0,0,0,8.78793772,0
26-11-2020,0,0,0,0,0,0
25-11-2020,0,0,0,0,0,0
24-11-2020,0,0,0,0,0,0
23-11-2020,0,0,0,0,0,0
22-11-2020,0,0,0,0,83.2598124,0
21-11-2020,0,0,0,0,59.79674865,0
20-11-2020,0,0,0,0,157.76690706,0
19-11-2020,0,0,0,0,1.93069831,0
18-11-2020,0,0,0,0,9.09953846,0
17-11-2020,0,0,0,0,8.5727133,0
16-11-2020,0,0,0,0,36.48294314,0
15-11-2020,0,0,0,0,9.78661538,0
14-11-2020,0,0,0,0,136.42796503,0
13-11-2020,0,0,0,0,712.63721376,0
12-11-2020,0,0,0,0,1374.23263903,0
11-11-2020,0,0,0,0,0,0
10-11-2020,0,0,0,0,0,0
09-11-2020,0,0,0,0,61.81790793,0
08-11-2020,0,0,0,0,0,0
07-11-2020,0,0,0,0,0,0
06-11-2020,0,0,0,0,10.91576471,0
05-11-2020,0,0,0,0,198.94489667,0
04-11-2020,0,0,0,0,35.98311286,0
03-11-2020,0,0,0,0,429.26710204,0
02-11-2020,0,0,0,0,661.99796145,0
01-11-2020,0,0,0,0,0.96421414,0
31-10-2020,0,0,0,0,170.87720353,0
30-10-2020,0,0,0,0,83.64527909,0
29-10-2020,0,0,0,0,13.43791051,0
28-10-2020,0,0,0,0,459.64825356,0
27-10-2020,0,0,0,0,0,0
26-10-2020,0,0,0,0,0,0
25-10-2020,0,0,0,0,0,0
24-10-2020,0,0,0,0,0,0
23-10-2020,0,0,0,0,0,0
22-10-2020,0,0,0,0,28.47324783,0
21-10-2020,0,0,0,0,534.4607478,0
20-10-2020,0,0,0,0,514.30284306,0
19-10-2020,0,0,0,0,57.76742881,0
18-10-2020,0,0,0,0,3.75581357,0
17-10-2020,0,0,0,0,44.60856216,0
16-10-2020,0,0,0,0,179.1448951,0
15-10-2020,0,0,0,0,25.42110426,0
14-10-2020,0,0,0,0,53.02888889,0
13-10-2020,0,0,0,0,1213.6728863,0
12-10-2020,0,0,0,0,108.85503987,0
11-10-2020,0,0,0,0,10.35731466,0
10-10-2020,0,0,0,0,304.03897884,0
09-10-2020,0,0,0,0,1196.90895,0
08-10-2020,0,0,0,0,747.82024839,0
07-10-2020,0,0,0,0,5086.42808276,0
06-10-2020,0,0,0,0,3931.70928182,0
05-10-2020,0,0,0,0,2627.83931212,0
04-10-2020,0,0,0,0,9203.05240278,0
03-10-2020,0,0,0,0,9064.72344444,0
02-10-2020,0,0,0,0,8948.49970333,0
01-10-2020,0,0,0,0,304.86921667,0
30-09-2020,0,0,0,0,512.02624865,0
29-09-2020,0,0,0,0,249.76373684,0
28-09-2020,0,0,0,0,640.33370513,0
27-09-2020,0,0,0,0,2378.29957317,0
26-09-2020,0,0,0,0,248.58169118,0
25-09-2020,0,0,0,0,205.996,0
24-09-2020,0,0,0,0,171.5569697,0
23-09-2020,0,0,0,0,504.51369697,0
22-09-2020,1.2266544279e-10,1.23523164566e-10,1.16681176833e-10,1.1823815253e-10,468.172648932238,0
21-09-2020,1.3315588276e-10,1.4713390764e-10,1.22003398981e-10,1.2283823784e-10,1880.66576685173,0
20-09-2020,1.684224794e-10,1.68422479401e-10,1.27495840616e-10,1.3315588276e-10,2795.87165303942,0
19-09-2020,1.1944294338e-10,1.70047995486e-10,1.19442943386e-10,1.6823271247e-10,3568.05065867564,0
18-09-2020,1.2198907664e-10,1.48742016432e-10,1.08231716582e-10,1.1944294338e-10,289.566911784083,0
17-09-2020,1.0057365416e-10,1.22948214261e-10,1.0021788475e-10,1.2216551277e-10,1300.76373326965,0
16-09-2020,1.0220994788e-10,1.02209947888e-10,9.91516299079e-11,1.006129425e-10,100.896177350041,0
15-09-2020,1.0100107051e-10,1.05096332663e-10,9.9230597011e-11,1.022511427e-10,429.103715444732,0
14-09-2020,1.0981269564e-10,1.1036802622e-10,1.00364535349e-10,1.0100107051e-10,882.945837887722,0
13-09-2020,1.1079017204e-10,1.13849471844e-10,1.05519168918e-10,1.0966870371e-10,697.462424747762,0
12-09-2020,1.1616297536e-10,1.17470412947e-10,1.08698067959e-10,1.1078270529e-10,727.898087178671,0
11-09-2020,1.1559825002e-10,1.16486218221e-10,1.12227042357e-10,1.1617944538e-10,78.9517426440355,0
10-09-2020,1.0363828237e-10,1.18922328027e-10,1.0342112293e-10,1.1553792607e-10,655.620972639878,0
